databaseId,caseId,url,title,citation,language,docketNumber,decisionDate,keywords
csc-scc,2018scc13,http://canlii.ca/t/hr6px,R.A. v. Her Majesty The Queen,2018 SCC 13 (CanLII),en,37757,2018-03-26,pourvoi — majoritaires — dissident — dissenting — interjeté
csc-scc,2018scc12,http://canlii.ca/t/hr51s,R. v. Carson,2018 SCC 12 (CanLII),en,37506,2018-03-23,business relating to the government — influence — point-of-use water treatment systems — offence — integrity
csc-scc,2018scc11,http://canlii.ca/t/hr3ww,International Brotherhood of Electrical Workers (IBEW) Local 773 v. Lawrence,2018 SCC 11 (CanLII),en,37617,2018-03-21,pourvoi — dissidente — dismisses — dissenting — interjeté
csc-scc,2018scc10,http://canlii.ca/t/hr0z4,R. v. Black,2018 SCC 10 (CanLII),en,37665,2018-03-15,importé — réglementant — dissidente — fail — fondements
csc-scc,2018scc9,http://canlii.ca/t/hqgpd,R. v. A.G.W.,2018 SCC 9 (CanLII),en,37795,2018-02-19,majoritaires — interjeté — oralement — exposés — orally
csc-scc,2018scc7,http://canlii.ca/t/hqh5j,R. v. G.T.D.,2018 SCC 7 (CanLII),en,37756,2018-02-19,surseoir à l enquête — mise en garde habituelle — violation — police — garanti
csc-scc,2018scc8,http://canlii.ca/t/hqf44,Valard Construction Ltd. v. Bird Construction Co.,2018 SCC 8 (CanLII),en,37272,2018-02-15,bond — trust — beneficiaries — material payment bonds — existence
csc-scc,2018scc6,http://canlii.ca/t/hqdb3,R. v. A.R.J.D.,2018 SCC 6 (CanLII),en,37715,2018-02-13,tende — sexuelle — majority — belle-fille — stepdaughter
csc-scc,2018scc5,http://canlii.ca/t/hq979,R. v. Canadian Broadcasting Corp.,2018 SCC 5 (CanLII),en,37360,2018-02-09,criminal contempt — strong prima facie — mandatory interlocutory injunction — website — publication ban
csc-scc,2018scc4,http://canlii.ca/t/hq5df,Williams Lake Indian Band v. Canada (Aboriginal Affairs and Northern Development),2018 SCC 4 (CanLII),en,36983,2018-02-02,band — fiduciary obligation — sui generis fiduciary — reserve — interest
csc-scc,2018scc3,http://canlii.ca/t/hq4jm,"Quebec (Commission des normes, de l’équité, de la santé et de la sécurité du travail) v. Caron",2018 SCC 3 (CanLII),en,36605,2018-02-01,suitable employment — duty to reasonably accommodate — worker — pre-injury employment — scheme
csc-scc,2018scc2,http://canlii.ca/t/hpv4d,Delta Air Lines Inc. v. Lukács,2018 SCC 2 (CanLII),en,37276,2018-01-19,public interest standing — complaint — gatekeeping — discretion — test
csc-scc,2018scc1,http://canlii.ca/t/hpswj,R. v. Seipp,2018 SCC 1 (CanLII),en,37513,2018-01-18,accident — fui — échapper à toute responsabilité civile — contrôle d un véhicule impliqué — scene
csc-scc,2017scc64,http://canlii.ca/t/hpg4c,R. v. Boutilier,"[2017] 2 SCR 936, 2017 SCC 64 (CanLII)",en,37168,2017-12-21,sentencing — indeterminate detention — dangerous offender — designation — long-term offender
csc-scc,2017scc63,http://canlii.ca/t/hpdq9,Deloitte & Touche v. Livent Inc. (Receiver of),"[2017] 2 SCR 795, 2017 SCC 63 (CanLII)",en,36875,2017-12-20,duty of care — audit — liability — reasonably foreseeable — shareholders
csc-scc,2017scc62,http://canlii.ca/t/hpb2k,British Columbia Human Rights Tribunal v. Schrenk,"[2017] 2 SCR 795, 2017 SCC 62 (CanLII)",en,37041,2017-12-15,discrimination regarding employment — workplace — person — complaint — relationship
csc-scc,2017scc61,http://canlii.ca/t/hp9mm,Cowper‑Smith v. Morgan,"[2017] 2 SCR 754, 2017 SCC 61 (CanLII)",en,37120,2017-12-14,proprietary estoppel — equity — promisor — interest in the property — specie distribution
csc-scc,2017scc60,http://canlii.ca/t/hp63x,R. v. Jones,"[2017] 2 SCR 696, 2017 SCC 60 (CanLII)",en,37194,2017-12-08,service provider — intercept — historical text messages — reasonable expectation of privacy — authorization
csc-scc,2017scc59,http://canlii.ca/t/hp63v,R. v. Marakah,"[2017] 2 SCR 608, 2017 SCC 59 (CanLII)",en,37118,2017-12-08,text messages — search — text message conversations — reasonable expectation of personal privacy — electronic conversation
csc-scc,2017scc58,http://canlii.ca/t/hp2d8,First Nation of Nacho Nyak Dun v. Yukon,"[2017] 2 SCR 576, 2017 SCC 58 (CanLII)",en,36779,2017-12-01,land use plan approval process — modern treaties — modify — consultation — reject
csc-scc,2017canlii80438,http://canlii.ca/t/hp1cm,R. v. Jordan,2017 CanLII 80438 (SCC),en,37479,2017-11-30,suivront — interjeté — oralement — orally — daté
csc-scc,2017canlii80437,http://canlii.ca/t/hp1ck,R. v. Magoon,2017 CanLII 80437 (SCC),en,37416,2017-11-30,suivront — interjeté — oralement — orally — daté
csc-scc,2017scc57,http://canlii.ca/t/hnvzp,R. v. Sciascia,"[2017] 2 SCR 539, 2017 SCC 57 (CanLII)",en,37155,2017-11-23,joint — provincial offences — summary conviction criminal charges — trials — joinder
