databaseId,caseId/en,title,citation
csc-scc,2018scc13,R.A. v. Her Majesty The Queen,2018 SCC 13 (CanLII)
csc-scc,2018scc12,R. v. Carson,2018 SCC 12 (CanLII)
csc-scc,2018scc11,International Brotherhood of Electrical Workers (IBEW) Local 773 v. Lawrence,2018 SCC 11 (CanLII)
csc-scc,2018scc10,R. v. Black,2018 SCC 10 (CanLII)
csc-scc,2018scc9,R. v. A.G.W.,2018 SCC 9 (CanLII)
csc-scc,2018scc7,R. v. G.T.D.,2018 SCC 7 (CanLII)
csc-scc,2018scc8,Valard Construction Ltd. v. Bird Construction Co.,2018 SCC 8 (CanLII)
csc-scc,2018scc6,R. v. A.R.J.D.,2018 SCC 6 (CanLII)
csc-scc,2018scc5,R. v. Canadian Broadcasting Corp.,2018 SCC 5 (CanLII)
csc-scc,2018scc4,Williams Lake Indian Band v. Canada (Aboriginal Affairs and Northern Development),2018 SCC 4 (CanLII)
csc-scc,2018scc3,"Quebec (Commission des normes, de l’équité, de la santé et de la sécurité du travail) v. Caron",2018 SCC 3 (CanLII)
csc-scc,2018scc2,Delta Air Lines Inc. v. Lukács,2018 SCC 2 (CanLII)
csc-scc,2018scc1,R. v. Seipp,2018 SCC 1 (CanLII)
csc-scc,2017scc64,R. v. Boutilier,"[2017] 2 SCR 936, 2017 SCC 64 (CanLII)"
csc-scc,2017scc63,Deloitte & Touche v. Livent Inc. (Receiver of),"[2017] 2 SCR 795, 2017 SCC 63 (CanLII)"
csc-scc,2017scc62,British Columbia Human Rights Tribunal v. Schrenk,"[2017] 2 SCR 795, 2017 SCC 62 (CanLII)"
csc-scc,2017scc61,Cowper‑Smith v. Morgan,"[2017] 2 SCR 754, 2017 SCC 61 (CanLII)"
csc-scc,2017scc60,R. v. Jones,"[2017] 2 SCR 696, 2017 SCC 60 (CanLII)"
csc-scc,2017scc59,R. v. Marakah,"[2017] 2 SCR 608, 2017 SCC 59 (CanLII)"
csc-scc,2017scc58,First Nation of Nacho Nyak Dun v. Yukon,"[2017] 2 SCR 576, 2017 SCC 58 (CanLII)"
csc-scc,2017canlii80438,R. v. Jordan,2017 CanLII 80438 (SCC)
csc-scc,2017canlii80437,R. v. Magoon,2017 CanLII 80437 (SCC)
csc-scc,2017scc57,R. v. Sciascia,"[2017] 2 SCR 539, 2017 SCC 57 (CanLII)"
csc-scc,2017scc56,Barreau du Québec v. Quebec (Attorney General),"[2017] 2 SCR 488, 2017 SCC 56 (CanLII)"
csc-scc,2017scc55,Association of Justice Counsel v. Canada (Attorney General),"[2017] 2 SCR 456, 2017 SCC 55 (CanLII)"
csc-scc,2017scc54,"Ktunaxa Nation v. British Columbia (Forests, Lands and Natural Resource Operations)","[2017] 2 SCR 386, 2017 SCC 54 (CanLII)"
csc-scc,2017scc53,R. v. Millington,"[2017] 2 SCR 384, 2017 SCC 53 (CanLII)"
csc-scc,2017scc52,R. v. Robinson,"[2017] 2 SCR 382, 2017 SCC 52 (CanLII)"
csc-scc,2017scc51,Teva Canada Ltd. v. TD Canada Trust,"[2017] 2 SCR 317, 2017 SCC 51 (CanLII)"
csc-scc,2017scc50,Tran v. Canada (Public Safety and Emergency Preparedness),"[2017] 2 SCR 289, 2017 SCC 50 (CanLII)"
csc-scc,2017scc49,R. v. Bourgeois,"[2017] 2 SCR 287, 2017 SCC 49 (CanLII)"
csc-scc,2017scc48,Montréal (City) v. Dorval,"[2017] 2 SCR 250, 2017 SCC 48 (CanLII)"
csc-scc,2017scc47,Canada (Attorney General) v. Fontaine,"[2017] 2 SCR 205, 2017 SCC 47 (CanLII)"
csc-scc,2017scc46,Canada (Attorney General) v. Thouin,"[2017] 2 SCR 184, 2017 SCC 46 (CanLII)"
csc-scc,2017scc45,R. v. Durham Regional Crime Stoppers Inc.,"[2017] 2 SCR 157, 2017 SCC 45 (CanLII)"
csc-scc,2017scc44,India v. Badesha,"[2017] 2 SCR 127, 2017 SCC 44 (CanLII)"
